,spatial,typicalAgeRange,physicalSampleAvailability,followup,pathway
86,https://www.geonames.org/2634895/wales.html,0-150,['NOT AVAILABLE'],OTHER,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
87,"['United Kingdom,Scotland']",16-90,['NOT AVAILABLE'],OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
88,"West Midlands Region, UK",0-115,['NOT AVAILABLE'],1 - 10 YEARS,"The dataset cover asthma outcomes and care captured across several levels of care, including primary, emergency, and secondary care, in addition to asthma-related death."
89,['https://www.geonames.org/2635167/united-kingdom.html'],Not Known,"['PERIPHERAL BLOOD CELLS', 'PLASMA', 'SERUM']",UNKNOWN,N/A - this is a survey of services
90,England,0-150,['NOT AVAILABLE'],OTHER,Neonatal Unit stay
91,['https://www.geonames.org/countries/GB/united-kingdom.html'],0-150,['NOT AVAILABLE'],UNKNOWN,Primary care
92,"['United Kingdom,Wales', 'United Kingdom,England']",0-150,['NOT AVAILABLE'],0 - 6 MONTHS,Data relates to a single specialty area -new and review appointments in ED departments
93,"England, UK",18-150,['NOT AVAILABLE'],> 10 YEARS,Not Applicable
94,https://www.geonames.org/6269131/england.html,0-150,['NOT AVAILABLE'],OTHER,All emergency services pathways
95,['https://www.geonames.org/2634895/wales.html'],18-75,['NOT AVAILABLE'],OTHER,dementia care in general hospitals
96,"['United Kingdom,England,East Midlands,Nottingham']",40-150,['NOT AVAILABLE'],> 10 YEARS,ALL primary and secondary care LIMS records for Tayside & Fife
97,England,0-150,['NOT AVAILABLE'],OTHER,"The UHB glaucoma dataset is representative of the patient pathway for diagnosis and treatment of glaucoma, and longitudinal follow-up."
98,UK,12-150,['NOT AVAILABLE'],1 - 10 YEARS,"This dataset contains all pathology data for patients in NWL. Each patient will be identifed using an unique patient key, patient keys can be used to link to other datasets to understand the patient pathway"
99,['https://www.geonames.org/11591953/west-midlands.html'],0-150,['NOT AVAILABLE'],UNKNOWN,All pathways pertaining to congenital anomalies
100,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],UNKNOWN,Pathways pertaining to exercise treatments and physical activity prescribed
101,International,0-100,['NOT AVAILABLE'],OTHER,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
102,https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,16-150,['OTHER'],OTHER,All pathways pertaining to congenital anomalies
103,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],OTHER,Only intensive care data
104,Wales,0-150,['AVAILABILITY TO BE CONFIRMED'],OTHER,Secondary
105,"['United Kingdom,England']",0-115,['NOT AVAILABLE'],UNKNOWN,Secondary care
106,https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,0-150,['NOT AVAILABLE'],OTHER,"The dataset is representative of paediatric diabetes care, where participants were recruited from. Very few children or young people with diabetes would be managed outside of this setting."
107,http://www.geonames.org/6269131/england.html,0-150,"['DNA', 'PLASMA', 'SERUM', 'URINE', 'WHOLE BLOOD']",0 - 6 MONTHS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
108,['https://www.geonames.org/2634895/wales.html'],0-150,"['DNA', 'TISSUE']",OTHER,All pathways about prescribed adult physical activity
109,United Kingdom,0-120,"['PERIPHERAL BLOOD CELLS', 'PLASMA', 'SERUM', 'TISSUE', 'URINE', 'WHOLE BLOOD']",0 - 6 MONTHS,All secondary care elective pathways
110,['WorldWide'],0-150,['DNA'],OTHER,COVID-19 vaccination centres and primary care
111,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],18-85,['NOT AVAILABLE'],OTHER,"This dataset contains all outpatient activity related to NWL patient population. Each patient would be identifiable using an unique patient key that can be used to link to other datasets, this will help track the patient pathway"
112,Wales,0-120,['IN PROGRESS'],0 - 6 MONTHS,"DID data is submitted by secondary providers. It includes a number of fields indicating the patient pathway. For insurance, the Patient Source Setting field describes how a patient was referred to receive a diagnostic imaging test. Possible options are:
Admitted Patient Care - Inpatient (this Health Care Provider)
Admitted Patient Care - Day case (this Health Care Provider)
Out-patient (this Health Care Provider)
GP Direct Access
Accident and Emergency Department (this Health Care Provider)
Other Health Care Provider
Other
DID also includes fields indicating the individual and organisation that referred the patient. However, in some instances the latter is not always populated. Similarly, there are fields indicating the date a referral for diagnostic imaging was made and when it was received. As with the referring organisation, there are some instances when these are not populated."
113,['https://www.geonames.org/2634895/wales.html'],18-150,['NOT AVAILABLE'],> 10 YEARS,Secondary care
114,Scotland,40-150,['NOT AVAILABLE'],OTHER,Education
115,England,0-12,['TISSUE'],1 - 10 YEARS,The dataset represents Hospital inpatient stays for COVID-19 infections but also includes data describing clinical contact in the Emergency Department and Outpatients.
116,England,15-150,['NOT AVAILABLE'],UNKNOWN,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data.  A matched non-COVID control population can be generated upon request."
117,"England, UK",0-150,"['DNA', 'TISSUE']",UNKNOWN,Family justice cases
118,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",0-150,['NOT AVAILABLE'],OTHER,All pathways about social care
119,Wales,Not Known,"['DNA', 'PLASMA', 'SERUM']",OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
120,Wales,0-150,['NOT AVAILABLE'],UNKNOWN,NOT APPLICABLE
121,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],0-150,['NOT AVAILABLE'],1 - 10 YEARS,"All children aged 1-18 years old who have been admitted to hospital (paediatric ward) with a primary diagnosis of asthma attack and coded with the following ICD-10 codes in the primary position of the first episode of care:

J45.0 – Predominantly allergic asthma
J45.1 – Nonallergic asthma
J45.8 – Mixed asthma
J45.9 – Asthma, unspecified
J46 – Status asthmaticus (includes  acute severe asthma"
122,England,40-150,['NOT AVAILABLE'],UNKNOWN,All pathways at primary and secondary tiers of care
123,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],> 10 YEARS,NOT APPLICABLE
124,['https://www.geonames.org/2638360/scotland.html'],0-4,['NOT AVAILABLE'],> 10 YEARS,All emergency services pathways
125,Scotland,15-44,['AVAILABILITY TO BE CONFIRMED'],UNKNOWN,NOT APPLICABLE
126,"West Midlands Region, UK",0-110,['NOT AVAILABLE'],6 - 12 MONTHS,All maternity pathways
127,['https://www.geonames.org/2635167/united-kingdom.html'],18-85,['IN PROGRESS'],0 - 6 MONTHS,"Primary Care Prescriptions covers all General Practices in NWL using EMIS or S1. This provides details of supply of prescriptions, issue date, primary care organisation that issued as well as whether it is a repeat or one-off prescription."
128,"['United Kingdom,Scotland']",0-150,['TISSUE'],UNKNOWN,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
129,['https://www.geonames.org/2634343/west-midlands.html'],18-93,['NOT AVAILABLE'],UNKNOWN,Characteristics of hospitals in the UK that provided vascular surgical services in August 2018
130,https://www.geonames.org/1210997/bangladesh.html,0-2,['NOT AVAILABLE'],OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
131,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/6269131/england.html']",18-150,['DNA'],OTHER,All pathways about prescribed systemic anti-cancer therapy.
132,"['https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/6269131/england.html']",35-100,['NOT AVAILABLE'],OTHER,Covid
133,Wales,0-18,"['DNA', 'PLASMA', 'SERUM']",UNKNOWN,patients with suspected or confirmed early inflammatory arthritis
134,https://www.geonames.org/2644688/leeds.html,0-150,['NOT AVAILABLE'],1 - 10 YEARS,Secondary care
135,['https://www.geonames.org/2638360/scotland.html'],0-150,['NOT AVAILABLE'],1 - 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
136,England,Not Known,['NOT AVAILABLE'],1 - 10 YEARS,"Primary care, secondary care, COVID testing and vaccinations, deaths, ITU/HDU admissions, prescribing/dispensing, cardiovascular audits (NICOR), stroke audits (SSNAP), maternity services, mental health"
137,England,15-150,['NOT AVAILABLE'],1 - 10 YEARS,dementia care in general hospitals
138,['https://www.geonames.org/2634895/wales.html'],0-18,['NOT AVAILABLE'],0 - 6 MONTHS,dementia care in general hospitals
139,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],OTHER,Administrative. Linkable to health datasets across patient pathway.
140,"England,UK",0-150,['NOT AVAILABLE'],1 - 10 YEARS,"The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2015 and followed up through health screening visits, questionnaire and medical records."
141,http://www.geonames.org/6269131/england.html,16-150,['NOT AVAILABLE'],> 10 YEARS,Primary and secondary care
142,England (https://www.geonames.org/6269131/england.html),18-85,['NOT AVAILABLE'],OTHER,"Care package data relating to patients registered with a NWL GP. A locally agreed data set between NWL boroughs and commissioners has defined data items such as start and end dates, allocated teams and service descriptions."
143,https://www.geonames.org/2634895/wales.html,0-150,['IN PROGRESS'],1 - 10 YEARS,NOT APPLICABLE
144,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],0 - 6 MONTHS,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data. Data includes those with and without COVID admitted during the first wave of the COVID pandemic."
145,['https://www.geonames.org/6269131/england.html'],0-115,['NOT AVAILABLE'],6 - 12 MONTHS,Secondary care
146,"['United Kingdom,England']",0-18,['NOT AVAILABLE'],OTHER,Secondary care
147,https://www.geonames.org/2641364/northern-ireland.html,0-150,['NOT AVAILABLE'],OTHER,Hospital
148,Wales,0-150,['NOT AVAILABLE'],OTHER,Dataset collected during the initial COVID-19 phase with first data collection phase primarily in April 2020 and second in June 2021.  Data collected by survey from people self-identifying as having a diagnosis of IBD and at risk from COVID-19 due to a combination of risk factors set out by the BSG
149,https://www.geonames.org/1168579/islamic-republic-of-pakistan.html,18-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
150,['https://www.geonames.org/2638360/scotland.html'],0-150,['NOT AVAILABLE'],OTHER,Potential covid-19 cases
151,http://www.geonames.org/6269131/england.html,0-150,['NOT AVAILABLE'],OTHER,Secondary care
152,England,15-150,['IN PROGRESS'],0 - 6 MONTHS,Cancer registration data are collected from a range of health care provider systems and other services.
153,https://www.geonames.org/2634895/,0-150,['NOT AVAILABLE'],OTHER,Covid
