,memberOf,name,identifier,contactPoint
58,HUB,PIONEER,5fc12be363eaab9e68dae76e,gcplab@liverpool.ac.uk
59,ALLIANCE,TISSUE DIRECTORY,607db9c4e1f9d3704d570d1f,surjeet.janjuha@nhs.net
60,OTHER,HDR UK NORTH,61ba059ac688870b12a4e05b,gecip-help@genomicsengland.co.uk
61,ALLIANCE,HQIP,609bc283781cac1dbab2a385,SWIFT-RTB@cardiff.ac.uk
62,ALLIANCE,TISSUE DIRECTORY,5f86cd34980f41c6f02261f4,SAILDatabank@swansea.ac.uk
63,ALLIANCE,HQIP,5f3f98068af2ef61552e1d75,ardentissuebank@uhcw.nhs.uk
64,ALLIANCE,SAIL,61c07f949f84273c2660f3e7,ramya.bhatia@ed.ac.uk
65,ALLIANCE,SAIL,607db9c4e1f9d3704d570d3f,PIONEER@UHB.NHS.UK
66,ALLIANCE,CPRD,5f3f98068af2ef61552e1d75,breathe.saildatabank@swansea.ac.uk
67,HUB,PIONEER,607db9c4e1f9d3704d570d1f,surjeet.janjuha@nhs.net
68,HUB,BREATHE,613b2174b8b58d157f531e7a,SAILDatabank@swansea.ac.uk
69,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,5f3f98068af2ef61552e1d75,datacan@uclpartners.com
70,ALLIANCE,HQIP,5f8992a97150a1b050be0712,v.enne@ucl.ac.uk
71,ALLIANCE,PARKINSONS UK,607db9c3e1f9d3704d570d0a,mds@imm.ox.ac.uk
72,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c4e1f9d3704d570d1f,gecip-help@genomicsengland.co.uk
73,HUB,GUT REACTION,607db9c5e1f9d3704d570d5f,nbr@bioresource.nihr.ac.uk
74,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570ce6,SAILDatabank@swansea.ac.uk
75,HUB,INSIGHT,607db9c4e1f9d3704d570d23,ctc.watchandwait@ucl.ac.uk
76,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c4e1f9d3704d570d23,Sam.Rising@nottingham.ac.uk
77,ALLIANCE,TISSUE DIRECTORY,5f8992a97150a1b050be0712,breathe.saildatabank@swansea.ac.uk
78,HUB,BREATHE,5f3f98068af2ef61552e1d75,mrcctu.icon8b@ucl.ac.uk
79,HUB,BREATHE,5f3f98068af2ef61552e1d75,brainuk@soton.ac.uk
80,ALLIANCE,HQIP,5f86cd34980f41c6f02261f4,RESPIRE@ed.ac.uk
81,ALLIANCE,CYSTIC FIBROSIS TRUST,5f3f98068af2ef61552e1d75,anna.brooke@bristol.ac.uk
82,ALLIANCE,CPRD,607db9c4e1f9d3704d570d1f,mndcollections@mndassociation.org
83,ALLIANCE,SAIL,607db9c2e1f9d3704d570cee,researchers@registerfordiscover.org.uk
84,HUB,PIONEER,5f3f98068af2ef61552e1d75,nddcbru@nottingham.ac.uk
85,HUBS,DATAMIND,5f89662f7150a1b050be0710,SAILDatabank@swansea.ac.uk
86,ALLIANCE,GENOMICS ENGLAND,607db9c2e1f9d3704d570ce6,PIONEER@UHB.NHS.UK
87,ALLIANCE,ISARIC 4C,607db9c4e1f9d3704d570d1f,SAILDatabank@swansea.ac.uk
88,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cde,SAILDatabank@swansea.ac.uk
89,ALLIANCE,TISSUE DIRECTORY,5f86cd34980f41c6f02261f4,nbr@bioresource.nihr.ac.uk
90,ALLIANCE,PARKINSONS UK,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
91,ALLIANCE,SAIL,5f8992a97150a1b050be0712,surjeet.janjuha@nhs.net
92,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,6214e1ff39af25bbdff24338,nbr@bioresource.nihr.ac.uk
93,HUB,PIONEER,607db9c5e1f9d3704d570d5f,enquiries@tissue-solutions.com
94,ALLIANCE,CPRD,607db9c6e1f9d3704d570d93,researchers@registerfordiscover.org.uk
95,ALLIANCE,TISSUE DIRECTORY,607db9c5e1f9d3704d570d5f,enquiries@ethicaltissue.org
96,ALLIANCE,CPRD,607db9c2e1f9d3704d570cee,d.gveric@imperial.ac.uk
97,NCS,OFFICE FOR NATIONAL STATISTICS,607db9c4e1f9d3704d570d23,BartsHealth.ResearchDataRequest@nhs.net
98,ALLIANCE,GENOMICS ENGLAND,607db9c4e1f9d3704d570d23,Pioneer@UHB.NHS.UK
99,ALLIANCE,NHS DIGITAL,6048a783a89bdc3443823333,SAILDatabank@swansea.ac.uk
100,ALLIANCE,SAIL,607db9c2e1f9d3704d570cee,SAILDatabank@swansea.ac.uk
101,ALLIANCE,UNIVERSITY OF NOTTINGHAM,5f89662f7150a1b050be0710,RESPIRE@ed.ac.uk
102,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,enquiries@cprd.com
103,ALLIANCE,CYSTIC FIBROSIS TRUST,5f3f98068af2ef61552e1d75,registry@cysticfibrosis.org.uk
104,HUB,INSIGHT,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
105,ALLIANCE,HQIP,607db9c4e1f9d3704d570d3f,RESPIRE@ed.ac.uk
106,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c4e1f9d3704d570d1f,DataSharing@hqip.org.uk
107,HUB,BREATHE,607db9c2e1f9d3704d570ce6,SAILDatabank@swansea.ac.uk
108,HUB,BREATHE,5f8437a3b7dec2a83e8cceba,DataSharing@hqip.org.uk
109,NCS,OFFICE FOR NATIONAL STATISTICS,607db9c2e1f9d3704d570cde,s.i.king@dundee.ac.uk
110,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,5f3f98068af2ef61552e1d75,johanna.young@gstt.nhs.uk
111,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,researchers@registerfordiscover.org.uk
112,ALLIANCE,QResearch,613b2174b8b58d157f531e7a,DataSharing@hqip.org.uk
113,ALLIANCE,BARTS HEALTH,60a6313d7dd392a16e228a94,DataSharing@hqip.org.uk
114,ALLIANCE,RENAL ASSOCIATION,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
115,ALLIANCE,NHS DIGITAL,5f8992a97150a1b050be0712,SAILDatabank@swansea.ac.uk
116,ALLIANCE,SAIL,607db9c4e1f9d3704d570d23,RESPIRE@ed.ac.uk
117,ALLIANCE,HQIP,607db9c3e1f9d3704d570d0a,r.zakeri@ucl.ac.uk
118,HUB,INSIGHT,607db9c5e1f9d3704d570d5f,DataSharing@hqip.org.uk
119,OTHER,Cicely Saunders Institute - Kings College London,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
120,ALLIANCE,NIHR BIORESOURCE,5f3f98068af2ef61552e1d75,R.T.Bryan@bham.ac.uk
121,ALLIANCE,SAIL,61ba059ac688870b12a4e05b,DataSharing@hqip.org.uk
122,ALLIANCE,SAIL,5f86cd34980f41c6f02261f4,DataSharing@hqip.org.uk
123,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,surjeet.janjuha@nhs.net
124,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,researchers@registerfordiscover.org.uk
125,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570ce6,Pioneer@UHB.NHS.UK
126,ALLIANCE,BARTS HEALTH,607db9c2e1f9d3704d570cde,epilepsybrainbank@ucl.ac.uk
127,ALLIANCE,GENOMICS ENGLAND,607db9c4e1f9d3704d570d23,LBIH-Biobank@liverpool.ac.uk
128,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c2e1f9d3704d570ce6,tnt-icrctsu@icr.ac.uk
129,ALLIANCE,TISSUE DIRECTORY,5fc12be363eaab9e68dae76e,srs.customer.support@ons.gov.uk
130,ALLIANCE,SAIL,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
131,HUBS,ALLEVIATE,5f3f98068af2ef61552e1d75,researchers@registerfordiscover.org.uk
132,ALLIANCE,TISSUE DIRECTORY,5fc12be363eaab9e68dae76e,vincap-icrctsu@icr.ac.uk
133,ALLIANCE,SAIL,5fc12be363eaab9e68dae76e,breathe.saildatabank@swansea.ac.uk
134,ALLIANCE,PUBLIC HEALTH SCOTLAND,607db9c2e1f9d3704d570ce6,researchers@registerfordiscover.org.uk
135,ALLIANCE,TISSUE DIRECTORY,607db9c3e1f9d3704d570d0a,SAILDatabank@swansea.ac.uk
136,HUB,PIONEER,607db9c5e1f9d3704d570d5f,researchers@registerfordiscover.org.uk
137,HUB,BREATHE,607db9c4e1f9d3704d570d23,mrcctu.stampede@ucl.ac.uk
138,HUB,GUT REACTION,607db9c4e1f9d3704d570d3f,gecip-help@genomicsengland.co.uk
139,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c2e1f9d3704d570cee,breathe.saildatabank@swansea.ac.uk
140,HUB,PIONEER,607db9c4e1f9d3704d570d1f,SAILDatabank@swansea.ac.uk
141,ALLIANCE,BARTS HEALTH,61800787f4dde0c2a01e1ea2,RESPIRE@ed.ac.uk
142,HUB,BREATHE,5f3f98068af2ef61552e1d75,laura.moss@wales.nhs.uk
143,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,practiceenquiries@phc.ox.ac.uk
144,ALLIANCE,HQIP,607db9c2e1f9d3704d570cee,DataSharing@hqip.org.uk
145,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,breathe.saildatabank@swansea.ac.uk
146,HUB,DATA-CAN,607db9c4e1f9d3704d570d3f,DataSharing@hqip.org.uk
147,ALLIANCE,PUBLIC HEALTH SCOTLAND,607db9c2e1f9d3704d570cee,researchers@registerfordiscover.org.uk
148,ALLIANCE,TISSUE DIRECTORY,607db9c5e1f9d3704d570d5f,enquiries@nhsdigital.nhs.uk
149,ALLIANCE,TISSUE DIRECTORY,61ba059ac688870b12a4e05b,PIONEER@UHB.NHS.UK
150,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce2,biol622@york.ac.uk
151,ALLIANCE,SAIL,607db9c4e1f9d3704d570d23,l.baxter@sheffield.ac.uk
152,ALLIANCE,GENOMICS ENGLAND,607db9c4e1f9d3704d570d23,breathe.saildatabank@swansea.ac.uk
153,ALLIANCE,NHS DIGITAL,5f3f98068af2ef61552e1d75,bcntb@leeds.ac.uk
154,HUB,GUT REACTION,60d092bc99419879d0dfa485,DataSharing@hqip.org.uk
155,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,ctc.darwin1@ucl.ac.uk
156,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c6e1f9d3704d570d93,RESPIRE@ed.ac.uk
157,ALLIANCE,CPRD,5f8992a97150a1b050be0712,parry-jonesa@cf.ac.uk
158,ALLIANCE,SAIL,5f8992a97150a1b050be0712,DataSharing@hqip.org.uk
159,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
160,ALLIANCE,SAIL,61ba059ac688870b12a4e05b,casps-icrctsu@icr.ac.uk
161,HUB,BREATHE,61ba059ac688870b12a4e05b,alspac-data@bristol.ac.uk
162,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c3e1f9d3704d570d0a,PIONEER@UHB.NHS.UK
163,ALLIANCE,BARTS HEALTH,607db9c2e1f9d3704d570ce6,breathe.saildatabank@swansea.ac.uk
164,ALLIANCE,NHS DIGITAL,607db9c3e1f9d3704d570d0a,ctru-myelomaxii@leeds.ac.uk
165,ALLIANCE,TISSUE DIRECTORY,607db9c3e1f9d3704d570d0a,imaging@nhsx.nhs.uk
166,ALLIANCE,SAIL,607db9c2e1f9d3704d570cee,rtb@leeds.ac.uk
167,ALLIANCE,PUBLIC HEALTH SCOTLAND,607db9c2e1f9d3704d570cee,hicsupport@dundee.ac.uk
168,ALLIANCE,NIHR Nottingham Biomedical Research Centre,5f3f98068af2ef61552e1d75,ci.bbfhad-admin@ucl.ac.uk
169,HUB,PIONEER,607db9c2e1f9d3704d570ce6,saildatabank@swansea.ac.uk
170,ALLIANCE,UNIVERSITY OF NOTTINGHAM,607db9c2e1f9d3704d570ce6,bwc.cehrb_@nhs.net
171,HUB,PIONEER,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
172,ALLIANCE,CPRD,607db9c2e1f9d3704d570cee,SAILDatabank@swansea.ac.uk
173,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,enquiries@insight.hdrhub.org
174,HUB,BREATHE,607db9c4e1f9d3704d570d23,gecip-help@genomicsengland.co.uk
175,ALLIANCE,HQIP,607db9c5e1f9d3704d570d5f,SAILDatabank@swansea.ac.uk
176,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,SAILDatabank@swansea.ac.uk
177,ALLIANCE,NEONATAL DATA ANALYSIS UNIT - IMPERIAL COLLEGE LONDON,607db9c2e1f9d3704d570cee,PIONEER@UHB.NHS.UK
178,ALLIANCE,CPRD,5f3f98068af2ef61552e1d75,Sam.Rising@nottingham.ac.uk
179,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,607db9c3e1f9d3704d570cfa,administration@researchdonors.co.uk
180,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,nibiobank@qub.ac.uk
181,ALLIANCE,SAIL,5f8437a3b7dec2a83e8cceba,SAILDatabank@swansea.ac.uk
182,ALLIANCE,TISSUE DIRECTORY,607db9c4e1f9d3704d570d3f,octo-enquiries@oncology.ox.ac.uk
183,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,DataSharing@hqip.org.uk
184,ALLIANCE,NIHR BIORESOURCE,607db9c4e1f9d3704d570d1f,srf42@medschl.cam.ac.uk
185,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,5f8437a3b7dec2a83e8cceba,researchers@registerfordiscover.org.uk
186,HUB,BREATHE,607db9c5e1f9d3704d570d63,registry@cysticfibrosis.org.uk
187,HUB,BREATHE,61ba059ac688870b12a4e05b,martin.taylor@ndorms.ox.ac.uk
188,HUB,INSIGHT,5fc12be363eaab9e68dae76e,breathe.saildatabank@swansea.ac.uk
189,ALLIANCE,TISSUE DIRECTORY,607db9c5e1f9d3704d570d5f,breathe.saildatabank@swansea.ac.uk
190,ALLIANCE,TISSUE DIRECTORY,607db9c3e1f9d3704d570cfa,kp1@soton.ac.uk
191,HUB,DISCOVER NOW,5fc12be363eaab9e68dae76e,hbrc-tissuebank@contacts.bham.ac.uk
192,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,SAILDatabank@swansea.ac.uk
193,ALLIANCE,BARTS HEALTH,5f3f98068af2ef61552e1d75,surjeet.janjuha@nhs.net
194,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,DataSharing@hqip.org.uk
195,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,enquiries@cprd.com
196,HUB,PIONEER,5f3f98068af2ef61552e1d75,enquiries@cprd.com
197,HUB,BREATHE,607db9c2e1f9d3704d570ce2,react.access@imperial.ac.uk
198,HUBS,ALLEVIATE,5f86cd34980f41c6f02261f4,PIONEER@UHB.NHS.UK
199,ALLIANCE,BRAIN TUMOUR CHARITY,5f3f98068af2ef61552e1d75,enquiries@cellbank.org.uk
200,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
201,ALLIANCE,PUBLIC HEALTH SCOTLAND,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
202,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,datacan@uclpartners.com
203,ALLIANCE,SAIL,5f8992a97150a1b050be0712,SAILDatabank@swansea.ac.uk
204,ALLIANCE,HQIP,607db9c4e1f9d3704d570d1f,datacan@uclpartners.com
205,HUB,GUT REACTION,607db9c4e1f9d3704d570d1f,elainedavies@kidneyresearchuk.org
206,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,info@bio-dock.com
207,ALLIANCE,BARTS HEALTH,607db9c3e1f9d3704d570cfa,phs.edris@phs.scot
208,HUB,GUT REACTION,609bc283781cac1dbab2a385,rapper@manchester.ac.uk
209,HUB,PIONEER,607db9c4e1f9d3704d570d23,vivaldi.covid19@ucl.ac.uk
210,HUB,GUT REACTION,607db9c4e1f9d3704d570d1f,SAILDatabank@swansea.ac.uk
211,ALLIANCE,SAIL,5fc12be363eaab9e68dae76e,ctc.rathl@ucl.ac.uk
212,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,Sam.Rising@nottingham.ac.uk
213,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,enquiries@cprd.com
214,ALLIANCE,QResearch,5f8437a3b7dec2a83e8cceba,DataSharing@hqip.org.uk
215,HUB,DISCOVER NOW,5f8437a3b7dec2a83e8cceba,datacan@uclpartners.com
216,ALLIANCE,TISSUE DIRECTORY,607db9c3e1f9d3704d570cf6,breathe.saildatabank@swansea.ac.uk
217,ALLIANCE,NHS DIGITAL,5f8437a3b7dec2a83e8cceba,nbr@bioresource.nihr.ac.uk
218,ALLIANCE,CPRD,607db9c2e1f9d3704d570ce6,SAILDatabank@swansea.ac.uk
219,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,SAILDatabank@swansea.ac.uk
220,HUB,BREATHE,607db9c2e1f9d3704d570cee,m.oates@liv.ac.uk
221,ALLIANCE,TISSUE DIRECTORY,5f86cd34980f41c6f02261f4,DataSharing@hqip.org.uk
222,ALLIANCE,BARTS HEALTH,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
223,ALLIANCE,BARTS HEALTH,60cb52377018342af889e972,lida@leeds.ac.uk
224,HUB,PIONEER,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
225,ALLIANCE,HQIP,607db9c4e1f9d3704d570d1f,SAILDatabank@swansea.ac.uk
226,ALLIANCE,SAIL,5f86cd34980f41c6f02261f4,DataSharing@hqip.org.uk
227,HUB,BREATHE,607db9c4e1f9d3704d570d1f,mecfsbiobank@lshtm.ac.uk
228,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,rwlm2@le.ac.uk
229,HUB,BREATHE,5f8992a97150a1b050be0712,plasmamatch-icrctsu@icr.ac.uk
230,ALLIANCE,CPRD,60a630687dd392a16e228a90,SAILDatabank@swansea.ac.uk
231,NCS,OFFICE FOR NATIONAL STATISTICS,607db9c3e1f9d3704d570cfa,DataSharing@hqip.org.uk
232,ALLIANCE,HQIP,613b2174b8b58d157f531e7a,SAILDatabank@swansea.ac.uk
233,ALLIANCE,CYSTIC FIBROSIS TRUST,607db9c2e1f9d3704d570ce6,PIONEER@UHB.NHS.UK
234,ALLIANCE,SAIL,5f8437a3b7dec2a83e8cceba,researchers@registerfordiscover.org.uk
235,NCS,OFFICE FOR NATIONAL STATISTICS,607db9c5e1f9d3704d570d5f,SAILDatabank@swansea.ac.uk
236,ALLIANCE,SAIL,607db9c4e1f9d3704d570d3f,enquiries@nhsdigital.nhs.uk
237,HUB,BREATHE,607db9c4e1f9d3704d570d23,nbr@bioresource.nihr.ac.uk
238,NCS,OFFICE FOR NATIONAL STATISTICS,607db9c2e1f9d3704d570cde,whitefs@cardiff.ac.uk
239,ALLIANCE,HQIP,607db9c3e1f9d3704d570d0a,researchers@registerfordiscover.org.uk
240,ALLIANCE,SAIL,607db9c4e1f9d3704d570d3f,david.steel@ncl.ac.uk
241,HUB,BREATHE,607db9c4e1f9d3704d570d23,registry@cysticfibrosis.org.uk
242,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,surjeet.janjuha@nhs.net
243,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,sharzad.moghadam@christie.nhs.uk
244,HUB,GUT REACTION,5f86cd34980f41c6f02261f4,cubiobank@cardiff.ac.uk
245,ALLIANCE,TISSUE DIRECTORY,5f8437a3b7dec2a83e8cceba,biobanking@exeter.ac.uk
246,HUB,DISCOVER NOW,607db9c6e1f9d3704d570d83,registry@cysticfibrosis.org.uk
247,HUB,PIONEER,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
248,ALLIANCE,HQIP,613b2174b8b58d157f531e7a,registry@cysticfibrosis.org.uk
249,ALLIANCE,HQIP,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
250,ALLIANCE,NIHR BIORESOURCE,607db9c2e1f9d3704d570cee,RESPIRE@ed.ac.uk
251,ALLIANCE,HQIP,613b2174b8b58d157f531e7a,SAILDatabank@swansea.ac.uk
252,ALLIANCE,CPRD,61ba059ac688870b12a4e05b,ezra.linley@phe.gov.uk
253,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c5e1f9d3704d570d5f,chloe.smith@liverpool.ac.uk
254,ALLIANCE,HQIP,607db9c4e1f9d3704d570d1f,DataSharing@hqip.org.uk
255,HUBS,DATAMIND,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
256,ALLIANCE,SAIL,607db9c4e1f9d3704d570d3f,SAILDatabank@swansea.ac.uk
257,ALLIANCE,SAIL,607db9c4e1f9d3704d570d3f,OxfordCO-CONNECT@ouh.nhs.uk
258,ALLIANCE,HQIP,5f86cd34980f41c6f02261f4,d.j.collier@qmul.ac.uk
259,ALLIANCE,CPRD,5f3f98068af2ef61552e1d75,DTB@hyms.ac.uk
