,description,associatedMedia,isPartOf
10,"Informed by a scoping review of existing questionnaires and protocols used in Low- and Middle-Income Countries (LMICs) to identify Chronic Respiratory Diseases, we will undertake a pilot survey to explore feasibility of using screening process in four countries (Bangladesh, India, Malaysia, and Pakistan). Our pilot findings will inform a future fully powered survey to determine the prevalence of asthma, COPD and other CRD in the community, using robust random sampling strategies, and quality assured spirometry undertaken by field workers.

For further details, see: https://www.ed.ac.uk/usher/respire/chronic-respiratory-disorders/estimating-chronic-respiratory-disease-burden",['https://www.pioneerdatahub.co.uk/wp-content/uploads/Covid-Acuity-OMOP-Infographic.pdf'],Not Applicable
11,"This audit aims to collect information on all people admitted to hospital adult services with asthma attacks. Admission data, obtained from patient case notes, is collected and entered into a secure and bespoke audit web tool.",['https://saildatabank.com/about-us/overview/'],NOT APPLICABLE
12,"The NIHR Bioresource consists of several groups of participants: ~70k from the general population and blood donors (COMPARE, INTERVAL and STRIDES studies); ~19k with one of ~50 rare diseases (RD) including a ~5k pilot for GEL; ~30k with Inflammatory Bowel Disease (IBD) which include the members of Gut Reaction, the Health Data Research Hub for IBD; and ~20k with Anxiety or depression (GLAD study). It intends to extend recruitment in all areas, and to other rare and common disease groups, with a target of ~300k by 2022. The NIHR BioResource records consent details – form, version and date - from participants at many points of recontact.  In addition, participants are empowered to contact the study direct to express their preferences. The primary use of consent records is as an exclusion when participants are invited to take part in experimental medicine studies.  However consent is also factored in to the release of samples and data for sample-only and data-only studies.  One implication, is that data releases have freezes that capture a snapshot of the current consent statuses.  How the withdrawal process is managed, and implications for whether data can be removed rapidly from already published datasets is described in our Participant Privacy Notice, online at https://bioresource.nihr.ac.uk/privacy/","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",COVID-19
13,"COVID-19 has caused the greatest pandemic in living memory. Alongside providing excellent clinical care in the most challenging of environments, there is also a critical need for clinical research to better understand this disease. This will equip us to better deal with the current pandemic as well future ones.

We need to establish why some people develop severe disease and others never get ill despite infection. We need to know whether there are targets for drug development to treat the disease or to give people who are exposed. We will look at genetic influences and immunology (including prior protective viral exposure), seek neutralising antibodies, understand the cellular responses and assess ethnic and sociological factors – all by collecting a biorepository of over 200,000 samples taken from our own healthcare staff weekly over the next 4 months. These samples will then be divided up and sent to the UKs best academic and pharmaceutical research institutions for collaborative, swift science maximising the yield of the consortium to answer the questions in such urgent need of answers.

Dr Charlotte Manisty, Professor James Moon and their team embarked on a pioneering project with Barts NHS Health Trust, in collaboration with University College London (UCL) and Queen Mary’s University London (QMLU). Their research focused on gathering blood samples and health data from frontline healthcare workers, rather than patients admitted to hospital with COVID-19. This was because healthcare workers have high exposure rates to the disease – it also allows researchers to compare samples from each person before, during and after their exposure to COVID-19, and to investigate the disease in people who develop only mild symptoms or are asymptomatic.",['https://www.pioneerdatahub.co.uk/wp-content/uploads/COPD-OMOP-infographic-V2-page-001-1216x1536.jpg'],Not Applicable
14,"The Daily Situation Report collects data on:
the number of urgent operations cancelled, including those cancelled for the 2nd time or more, throughout the month
critical care capacity, including adult, paediatric and neonatal available and occupied critical care beds","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw', 'https://saildatabank.com/']",National Clinical Audit and Patient Outcomes Programme (NCAPOP)
15,"The NIHR IBD BioResource comprises ~34k participants with Inflammatory Bowel Disease (IBD). The NIHR IBD BioResource acquires samples at recruitment for each participant recruited. The preferred sample collection is 3 blood tubes – see https://bioresource.nihr.ac.uk/recruiters/sample-collection-recruiters/ – from which DNA can be extracted, and plasma and sera stored. In many clinics, the NIHR BioResource blood draw follows immediately the blood collection for routine healthcare purposes. In the case of children, less blood will be taken, down to 1ml. The Technical Metadata describes the standard used by RD-Connect, the EU-wide Rare Disease biobank consortium - https://samples.rd-connect.eu/menu/main/home. During 2021, this will be replaced by an API from the UK CRC Tissue Directory, as using this discovery tool is a condition of running a Research Tissue Bank in the UK.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",No Group
16,"Contains organisational survey data collected from hospitals in England, Wales and Scotland between 1 April 2019 and 1 July 2019. Includes data on admissions numbers and beds, staffing levels, access to specialist staff/services, 7-day working, management and integration of care, patient and carer engagement, transitional care, cost reimbursement.",['https://www.ed.ac.uk/usher/respire/chronic-respiratory-disorders/asthma-care'],NOT APPLICABLE
17,Administrative and clinical information for bowel screening; currently offered to men and women who are resident in Wales aged between 60 and 74 years old.,['https://www.njrcentre.org.uk/njrcentre/Research/Research-requests'],UKCRC Tissue Directory and Coordination Centre
18,"The Chief Medical Officer (CMO) for England, working with the CMOs of the devolved nations and other senior clinicians, commissioned NHS Digital to produce a list of people at “high risk” of complications from COVID-19, who should be shielded for at least 12 weeks. The CMO for Wales commissioned a collaboration of national bodies in Wales (NWIS, DU, NWSSP, PHW) to identify “high risk” people for the Welsh population, based largely on the NHS Digital methodology. This list is referred to as the Shielded Patient List (SPL). 

The “high risk” list was defined as a subset of a wider group of people who may be “at risk”. Specific advice applies to these groups, currently this advice is:
 • “At Risk” – large group normally at risk from the flu - should practice strict social distancing 
• “At high risk” – a smaller sub-group (circa 70k), defined by CMO – should practice complete social “shielding” NHS Digital have described the methodology that has been used to identify patients who meet the high risk criteria due to their inclusion in one or more of the disease groups. 

As there are differences in some of the systems used across the devolved nations, nuanced differences in application and interpretation of CMO guidance, this document describes the Welsh methodology.

https://nwis.nhs.wales/coronavirus/coronavirus-content/coronavirus-documents/covid-19-high-risk-shielded-patient-list-identification-methodology/",['https://www.hqip.org.uk/a-z-of-nca/national-cardiac-audit-programme-ncap/#.YKPMaqhKiUk'],UKCRC Tissue Directory and Coordination Centre
19,"INCA is a multicentre, randomised, phase II trial comparing IO-R-CVP with Gem-R-CVP in the first line treatment of patients with DLBCL who are not fit for anthracycline-containing chemotherapy. 
132 patients will be randomised to receive either IO-R-CVP or Gem-R-CVP.
Samples collected for trial: 7ml EDTA blood sample taken at baseline; Formalin fixed paraffin embedded tumour block - both sent to HMDS, Leeds.  Blood serum sample (4.9ml)  taken at Baseline (between day -14 pre registration and day 1 pre-treatment), Cycle 1 day 3 (+/- 1 day), Cycle 1 day 8 (+/-1 day) and Cycle 2 day 1 (-1 day) to be sent to Cancer Research UK Manchester Institute, Macclesfield.",['https://www.njrcentre.org.uk/njrcentre/Research/Research-requests'],NOT APPLICABLE
20,"HCV Research UK is a UK-wide consortium established in 2011 to underpin research into hepatitis C (HCV).  This was achieved by establishing a biorepository and clinical research database. The biorepository is housed in the MRC-University of Glasgow Centre for Virus Research, directed by Dr John McLauchlan and managed by Dr Sarah McDonald. Samples have been obtained from around 10,000 patients.
Access to samples and data is governed by a Tissue and Data Access Committee (TDAC). These are reviewed for ethical and scientific merit by TDAC and a decision reached. 
Serum and plasma are obtained from all patients in the cohort. Buffy coats are also collected, and DNA can be extracted when required. Additionally, peripheral blood mononuclear cells (PBMCs) and PAX gene tubes are held for smaller cohorts of patients. The extensive clinical data collected complements the biorepository and allows selection of samples from patients with characteristics of interest.
Sub-cohorts:
-	Serial samples from patients who were treated as part of the NHS England Early Access Program.
-	Yearly samples from cirrhotic patients (beginning 2015)
-	Spontaneous resolvers
-	Small paediatric cohort
Clinical Data
-	Basic demographics including place of birth and ethnicity
-	History of HCV infection including exposure to risk factors and dates
-	Date of diagnosis, date of first attendance at clinic
-	Co-morbidities and co-medications at time of enrolment
-	Liver disease status and how diagnosed
-	Treatment status at enrolment; 
-	Social history including alcohol, cigarettes, cannabis; BMI
-	HCV RNA status, viral load and genotype/subtype
-	Historical data from the patients' notes regarding previous treatment episodes (dates, regimen, viral loads, outcome) and liver biopsies
-	Laboratory data including imaging and fibroscan;
-	New treatment episodes and changes in liver disease status are recorded over time, as are any newly developed co-morbidities.
All data generated by researchers who access our biorepository must be returned into the database. Over time this will include host genetics, full length viral sequences, immunophenotyping and biomarker studies.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",NOT APPLICABLE
21,"OMOP dataset: Hospital COVID patients: severity, acuity, therapies, outcomes
Dataset number 2.0

Coronavirus disease 2019 (COVID-19) was identified in January 2020.  Currently, there have been more than 6 million cases & more than 1.5 million deaths worldwide.  Some individuals experience severe manifestations of infection, including viral pneumonia, adult respiratory distress syndrome (ARDS) & death.  There is a pressing need for tools to stratify patients, to identify those at greatest risk.  Acuity scores are composite scores which help identify patients who are more unwell to support & prioritise clinical care. There are no validated acuity scores for COVID-19 & it is unclear whether standard tools are accurate enough to provide this support. This secondary care COVID OMOP dataset contains granular demographic, morbidity, serial acuity and outcome data to inform risk prediction tools in COVID-19.

PIONEER geography
The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix. There is a higher than average percentage of minority ethnic groups. WM has a large number of elderly residents but is the youngest population in the UK.  Each day >100,000 people are treated in hospital, see their GP or are cared for by the NHS. The West Midlands was one of the hardest hit regions for COVID admissions in both wave 1 & 2.

EHR. University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.  UHB has cared for >5000 COVID admissions to date.  This is a subset of data in OMOP format.

Scope: All COVID swab confirmed hospitalised patients to UHB from January – August 2020.  The dataset includes highly granular patient demographics & co-morbidities taken from ICD-10 & SNOMED-CT codes.  Serial, structured data pertaining to care process (timings, staff grades, specialty review, wards), presenting complaint, acuity, all physiology readings (pulse, blood pressure, respiratory rate, oxygen saturations), all blood results, microbiology, all prescribed & administered treatments (fluids, antibiotics, inotropes, vasopressors, organ support), all outcomes.  

Available supplementary data:
Health data preceding & following admission event. Matched “non-COVID” controls; ambulance, 111, 999 data, synthetic data. Further OMOP data available as an additional service.

Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",NOT APPLICABLE
22,"https://clinicaltrials.gov/ct2/show/NCT01134822

The PROFILE study is a longitudinal observational study of patients with Idiopathic Pulmonary Fibrosis and Non Specific Interstitial Pneumonitis. Patients were recruited to the study within 6 months of diagnosis and followed up for three years with physiological, biological, genetic and quality of life assessments assessments at various intervals over these three years. The aim of this study was to understand the natural history of fibrotic lung disease and identify factors that would be able to predict the heterogenous disease course amongst these patients.",['https://www.cprd.com/linked-data'],NOT APPLICABLE
23,"The dataset provides information about SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",NOT APPLICABLE
24,"Cancer Network Information System includes multidisciplinary team diagnosis, proposed treatments, and a system-generated summary of the patient’s cancer record","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw', 'https://saildatabank.com/']",In Progress
25,"Background.
Chronic obstructive pulmonary disease (COPD) is a debilitating lung condition characterised by progressive lung function limitation.   COPD is an umbrella term and encompasses a spectrum of pathophysiologies including chronic bronchitis, small airways disease and emphysema.  COPD caused an estimated 3 million deaths worldwide in 2016, and is estimated to be the third leading cause of death worldwide.  The British Lung Foundation (BLF) estimates that the disease costs the NHS around £1.9 billion per year. COPD is therefore a significant public health challenge.  This dataset explores the impact of hospitalisation in patients with COPD during the COVID pandemic.

PIONEER geography
The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix. There is a higher than average percentage of minority ethnic groups. WM has a large number of elderly residents but is the youngest population in the UK.  There are particularly high rates of physical inactivity, obesity, smoking & diabetes.  The West Midlands has a high prevalence of COPD, reflecting the high rates of smoking and industrial exposure. Each day >100,000 people are treated in hospital, see their GP or are cared for by the NHS.

EHR. University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”. 

Scope: All hospitalised patients admitted to UHB during the COVID-19 pandemic first wave, curated to focus on COPD.  Longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after admission understood.  The dataset includes ICD-10 & SNOMED-CT codes pertaining to COPD and COPD exacerbations, as well as all co-morbid conditions.  Serial, structured data pertaining to process of care (timings, staff grades, specialty review, wards), presenting complaint, all physiology readings (pulse, blood pressure, respiratory rate, oxygen saturations), all blood results, microbiology, all prescribed & administered treatments (fluids, nebulisers, antibiotics, inotropes, vasopressors, organ support), all outcomes.  Linked images available (radiographs, CT).

Available supplementary data:
More extensive data including wave 2 patients in non-OMOP form. Ambulance, 111, 999 data, synthetic data.

Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw', 'https://saildatabank.com/']",NOT APPLICABLE
26,"Administrative and clinical information for breast screening; routine screening is currently offered to women who are resident in Wales aged 50 to 70 years. Older women can self-refer.

This dataset contains all individuals who are eligible for breast screening: routine invitations, self-referrals and family history screening women.","['https://bioresource.nihr.ac.uk/centres-programmes/ibd-bioresource/gut-reaction-data-sources', 'https://bioresource.nihr.ac.uk/centres-programmes/ibd-bioresource/gut-reaction/']",NJR
27,"Careers Wales dataset.

The data supplied to SAIL represents interactions and services provided by Careers Wales to clients throughout Wales over the period 01/04/2012 to 31/03/2020. At the start of this period, the Careers Wales had just been formed from six regional Careers companies, and their CRM system was initially populated with imports from the preceding companies’ systems. Between 2012 and the present Careers Wales has worked to rationalise the varied approaches to recording, enhance the quality and suitability of the data they gather, and to simplify the data entry requirements for their staff as far as possible. Therefore users of the data will very likely notice changes over time in the nature of the data.

Careers Wales stores information on all its interactions, services provided, etc. as entities called histories. Within their CRM, different on-screen fields can be enabled or disabled for different history types – therefore a history representing a Group Session would contain information on the duration of the session, the topic and the venue; whereas a history for a Traineeship Referral Form completion would not display any of these fields.

All the numerically coded columns in Careers Wales’ supplied data can be decoded via the accompanying lookup file - HISTORIES_LOOKUP_1545_20200821.CSV.",['https://www.data-can.org.uk/'],University of Dundee Health Informatics Centre
28,"We aim to assess the feasibility of delivering a supported self-management incorporating an adapted pictorial asthma action plan for adult patients with asthma in clinical practice in a public primary care clinic in the Klang District, Selangor State, Malaysia. Dataset contains follow-up responses at one-, three- and six-months post intervention. 

Supported self-management has been shown to reduce asthma-related morbidity and mortality in high-income countries, but poor health literacy (especially in low- and middle-income countries) is a potential barrier to its effectiveness. This study aims to assess the feasibility of delivering supported self-management incorporating an adapted pictorial asthma action plan for adult patients with asthma attending a public primary care clinic in Malaysia. This study will proceed in two phases: 1) adaptation of the pictorial asthma action plan (AAP); and 2) a feasibility study including  feasibility of assessing costs. Following the adaptation of the AAP, we assess the feasibility of using the AAP to support self-management in adults with asthma. In a pre-post study, 70 patients aged 18 years and above with physician-diagnosed asthma and currently prescribed inhaled corticosteroids will be recruited. Our proposed primary outcome is asthma control (Global Initiative for Asthma symptom control). A pre-piloted questionnaire will be used to collect baseline data on socio-demography, healthcare utilisation and expenditure, health literacy, clinical parameters (body mass index; peak expiratory flow rate).  Follow-up will be at 1, 3, and 6 months. 

The protocol was approved by the Medical Research Ethics Committee, Ministry of Health Malaysia and registered with National Medical Research Registry (NMRR-18-2683-43494). The study trial registration number is ISRCTN87128530 (Pre-results).","['https://www.cancerdata.nhs.uk', 'https://www.cancerresearchuk.org']",University of Dundee Health Informatics Centre
29,"The National Joint Registry for England, Wales, Northern Ireland and the Isle of Man is a database containing details of all primary and revision total hip, knee, shoulder, elbow and ankle replacement procedures carried out in NHS and independent sector hospitals in England, Wales, Northern Ireland and the Isle of Man.  Primary hip replacement has its own specific dataset for procedures.
Initially this data is collected during a patient's time at hospital as part of bespoke data collection to support the NJR . This is submitted to NEC Software Solutions (contracted to the NJR) for processing and is used to monitor the quality and safety of patient care and outcomes. 
This same data can also be processed and used for non-clinical purposes, such as research and planning health services. Because these uses are not to do with direct patient care, they are called 'secondary uses'. This is the NJR research ready data set.
NJR data covers all procedures carried out in NHS and independent sector hospitals  in England, Wales (from 2003), Northern Ireland )from 2013), the Isle of Man (from 2015) and the States of Guernsey (from 2019).
Each NJR record contains a wide range of information about an individual patient treated at an NHS or independent sector hospital, including:
• clinical information about surgical indications and operations
• patient information, such as age group and gender
• component information, such as the brand and size of prosthesis used
• outcomes, such as whether a revision procedure has been undertaken
NJR apply a strict statistical disclosure control in accordance with the NHS Digital protocol, to all published NJR data. This suppresses small numbers to stop people identifying themselves and others, to ensure that patient confidentiality is maintained.
Who NJR data is for
NJR can provide data for the purpose of healthcare analysis to the NHS, government and others including:
• national bodies and regulators, such as the Department of Health, NHS England, Public Health England, NHS Improvement and the CQC
• local Clinical Commissioning Groups (CCGs)
• provider organisations
• government departments
• researchers and commercial healthcare bodies
• National Institute for Clinical Excellence (NICE)
• patients, service users and carers
• the media
Uses of the statistics
The statistics are known to be used for:
• national policy making
• benchmarking performance against other hospital providers or CCGs  
• academic research
• analysing service usage and planning change
• providing advice to ministers and answering a wide range of parliamentary questions
• national and local press articles
• international comparison
More information can be found at http://www.njrcentre.org.uk/njrcentre/",['https://www.hdruk.ac.uk/projects/better-care-northern-partnership-better-antibiotic-prescribing-in-frail-elderly-people-with-polypharmacy/'],NOT APPLICABLE
30,Tayside Pathology containing details from pathological samples and biopsy including diagnosis codes. This data originates from Ninewells Pathmanager.,['https://www.hqip.org.uk/a-z-of-nca/national-cardiac-audit-programme-ncap/#.YKPMaqhKiUk'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
31,"Accident and Emergency Statistics. The A&E datamart was established in June 2007 to monitor the compliance of each NHS Board against the 4 hour wait standard. In July 2010 the A&E data mart was extended further to collect items such as diagnosis, several injury fields and an alcohol involved flag, which will be used to identify whether the patient’s alcohol consumption was a factor in the attendance. The collection of the new fields has been driven by a variety of SG policy decisions and interest from a number of organisations. Although there is now the facility to submit these additional fields, they are still under development and ISD are working with the NHS Boards to support data collection and quality. There are two types of data submitted to the A&E datamart: episode and aggregate level data. All hospitals with Emergency Departments submit episode level data containing a detailed record for each patient attendance. Some smaller sites with minor injury units or community hospitals only submit aggregate files containing monthly summary attendance and compliance figures only. This is because they do not have the information systems and support to enable collection of detailed patient based information. Sites that submit episode level data account for around 94% of all attendances at A&E.",['https://www.hqip.org.uk/a-z-of-nca/dementia-care-in-general-hospitals/'],UKCRC Tissue Directory and Coordination Centre
32,"Each year, there are audits to assess maternal & foetal outcomes across the UK. In 2016-18, 217 women died during or up to six weeks after pregnancy, from causes associated with their pregnancy, among 2,235,159 women giving birth in the UK. 9.7 women per 100k died during pregnancy or up to six weeks after childbirth or the end of pregnancy. There was an increase in the overall maternal death rate in the UK between 2013-15 & 2016-18. Assessors judged that 29% of women who died had good care. However, improvements in care which may have made a difference to the outcome were identified for 51% of women who died. Birmingham has a higher than average maternal & foetal death rate. This dataset includes detailed information about the reasons pregnant women seek acute care, & their care pathways & outcomes.
PIONEER geography: The West Midlands (WM) has a population of 5.9m & includes a diverse ethnic, socio-economic mix. There is a higher than average % of minority ethnic groups. WM has the youngest population in the UK with a higher than average birth rate. There are particularly high rates of physical inactivity, obesity, smoking & diabetes. 51.2% of babies born in Birmingham have at least one parent born outside of the UK, this compares with 34.7% for England. Each day >100k people are treated in hospital, see their GP or are cared for by the NHS.
EHR: University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.
Scope: Pregnant or post-partum women from 2015 onwards who attended A&E in Queen Elizabeth hospital. Longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after admission understood. The dataset includes highly granular patient demographics (including gestation & postpartum period), co-morbidities taken from ICD-10 & SNOMED-CT codes. Serial, structured data pertaining to process of care (admissions, wards, practitioner changes & discharge outcomes), presenting complaints, physiology readings (temperature, blood pressure, NEWS2, SEWS, AVPU), referrals, all prescribed & administered treatments & all outcomes.
Available supplementary data: More extensive data including granular serial physiology, bloods, conditions, interventions, treatments. Ambulance, 111, 999 data, synthetic data.
Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services.","['https://saildatabank.com/about-us/overview/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw']",NJR
