,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
10,Access is managed on a project-by-project basis. Contact the RESPIRE team: https://www.ed.ac.uk/usher/respire/about/projects,Cambridge University Hospitals NHS Foundation Trust (CUH),IN,"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],NOT APPLICABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
11,"['https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",bartshealth.covid-hcw@nhs.net,['GB-EAW'],SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
12,['https://bioresource.nihr.ac.uk/using-our-bioresource'],Joint data controller model across North West London,['GB-GBN'],SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",2-6 MONTHS,Trusted Research Environment on Microsoft Azure cloud server (UK South).  Creating the environment will be subject to a charge following approval of data request. The PIONEER team will work with you to ensure the relevant compute power and tooling is available to support your analytical needs.
13,['https://covid-consortium.com/application-for-samples/'],Cambridge University Hospitals NHS Foundation Trust (CUH),GB-ENG,Not Applicable,Not specified,OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
14,['https://imperialcollegehealthpartners.com/discover-now/nwl-covid-data-access/'],Public Health Wales NHS Trust,GB,Not Applicable,Not specified,2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
15,['https://bioresource.nihr.ac.uk/using-our-bioresource'],SAIL Databank,['GB-GB'],NOT APPLICABLE,www.pioneerdatahub.co.uk/data/data-services-costs/,2-6 MONTHS,Access is managed on a project-by-project basis. Contact the RESPIRE team:
16,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources",University College London,GB-GBN,BREATHE,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
17,['https://saildatabank.com/application-process/'],University of Glasgow,GB,SAIL Databank,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"HIC has implemented a remote-access ""Safe Haven"" environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
18,['https://saildatabank.com/application-process/'],University Hospitals Birmingham NHS Foundation Trust,GB-WLS,SAIL Databank,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",1-2 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
19,Please contact the publisher using Contact Point details provided,BREATHE,GB-ENG,Not Applicable,https://www.pioneerdatahub.co.uk/data/data-services-costs/,2-6 MONTHS,Access is managed on a project-by-project basis. Contact the RESPIRE Collaboration.
20,Please contact the publisher using Contact Point details provided,SAIL Databank,GB-SCT,SAIL Databank,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
21,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],"NHS, SAIL Databank",GB,SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
22,['https://saildatabank.com/application-process/'],University Hospitals Birmingham NHS Foundation Trust,GB,Respire,['http://www.njrcentre.org.uk/njrcentre/Portals/0/NJR%20cost%20recovery%20policy%20April%202019%20v1.0.pdf?ver=2019-04-04-105011-240'],2-6 MONTHS,"The Office for National Statistics Secure Research Service (SRS) gives accredited researchers secure access to de-identified, unpublished data in order to work on research projects for the public good.   Most datasets are available to access through remote access to the SRS. In some instances, the data can only be accessed from an approved safe setting. 
 For more information,visit: https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme"
23,['https://saildatabank.com/application-process/'],Public Health Wales NHS Trust,['GB-GB'],NEC Software Solutions,['Quotation available on request'],2-6 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
24,['https://saildatabank.com/application-process/'],SAIL Databank,['GB-GB'],"University of Dundee, Health Informatics Centre",www.pioneerdatahub.co.uk/data/data-services-costs/,VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
25,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],Respire,GB,NOT APPLICABLE,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\nhttps://www.nicor.org.uk/for-researchers/data-sharing-application-process/'],2-4 WEEKS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
26,['https://saildatabank.com/application-process/'],Healthcare Quality Improvement Partnership jointly with NHS England,['GB'],"Barts Health NHS Trust, host of the National Institute for Cardiovascular Outcomes Research (NICOR)",Not specified,OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
27,['https://saildatabank.com/application-process/'],NHS Tayside,GB-WLS,Not Applicable,['http://www.njrcentre.org.uk/njrcentre/Portals/0/NJR%20cost%20recovery%20policy%20April%202019%20v1.0.pdf?ver=2019-04-04-105011-240'],1-2 MONTHS,Data may only be accessed in an approved Trustworthy Research Environment (TRE).
28,['https://www.ed.ac.uk/usher/respire/about/projects'],University of Dundee,['MY'],NEC Software Solutions,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",VARIABLE,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
29,"['http://www.njrcentre.org.uk/njrcentre/Research/Research-requests', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",University Hospitals Birmingham NHS Foundation Trust,['GB-EAW'],RESPIRE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"The Yorkshire and Humber Care Record (YHCR) solution – The Data Ark (Which fulfils the requirements of a Trusted Research Environment) has been developed by the YH health and social care partners with the intention of creating a joint
electronic Population Health Management (PHM) Solution. 
 DATA-CAN has a collaboration arrangement with the YHCR to use this technology for RTDN."
30,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],Healthcare Quality Improvement Partnership jointly with NHS England,['GB-SCT'],University of Edinburgh,Available at no cost at the point of use,VARIABLE,"Once your DARS application has been approved, data will be made available by secure file transfer.

https://digital.nhs.uk/services/transfer-data-securely"
31,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],University College London,['GB-SCT'],SAIL Databank,['https://www.cprd.com/pricing'],2-6 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
32,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],Healthcare Quality Improvement Partnership jointly with NHS England,GB-GBN,SAIL Databank,Not specified,2-6 MONTHS,N/A - A researcher accessing the gateway and reading the description of the GP data will not be able to apply/enquire for access.
33,"['https://www.nicor.org.uk/for-researchers/', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",RESPIRE,['GB-EAW'],Office for National Statistics,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
34,Please contact the publisher using Contact Point details provided,University of Edinburgh,GB-ENG,CPRD,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
35,"['http://www.njrcentre.org.uk/njrcentre/Research/Research-requests', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",NHS Wales’ Informatics Service (NWIS),['GB-EAW'],King's College London,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
36,['https://www.ed.ac.uk/usher/respire/about/projects'],NHS Wales’ Informatics Service (NWIS),['PK'],Not Applicable,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
37,['https://www.ed.ac.uk/lothian-birth-cohorts/data-access-collaboration'],Office for National Statistics,['GB-SCT'],SAIL Databank,['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],2-6 MONTHS,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
38,['https://saildatabank.com/application-process/'],Clinical Practice Research Datalink (CPRD),GB-WLS,SAIL Databank,Not specified,OTHER,The audit team at Parkinson's UK will respond to all requests for access to this data within 5 working days
39,['https://saildatabank.com/application-process/'],King's College London,['GB-WLS'],RESPIRE,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
40,['https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme'],UCL,GB-GBN,Not Applicable,Not specified,1-2 MONTHS,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access in a Trustworthy Research Environment (TRE) at AIMES secure data centre (https://aimes.uk/).  It is also intended that SNP data be available from the European Genome-Phenome Archive (EBI's EGA) via managed access."
41,['HTTPS://CPRD.COM/DATA-ACCESS'],SAIL Databank,['GB-ENG'],EAVEII team,['Quotation available on request'],2-6 MONTHS,"INSIGHT adheres to HDRUK data access principles including the five SAFES; anonymised data is provided into an agreed Trusted Research Environment such as the PIONEER Microsoft Azure TRE at University Hospitals Birmingham NHSFT or equivalent external safe environment, under data license."
42,['http://dash.sphsu.mrc.ac.uk/Data-sharing.html'],SAIL Databank,['GB-ENG'],SAIL Databank,Data access for NHS management and members of the network is free. DATA- CAN will deliver and share basic analyses and dashboards. Additional costs of further analysis and research will need external funding,OTHER,"HIC has implemented a remote-access ""Safe Haven"" environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
43,Please contact the publisher using Contact Point details provided,RESPIRE,GB-ENG,"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges,2-6 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
44,['https://saildatabank.com/application-process/'],UCL,['GB'],Not Applicable,['www.pioneerdatahub.co.uk/data/data-services-costs/'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
45,['https://saildatabank.com/application-process/'],EAVEII team,['GB-WLS'],Not Applicable,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
46,Access is managed on a project-by-project basis. Contact the RESPIRE team: https://www.ed.ac.uk/usher/respire/about/projects,Welsh Cancer Intelligence & Surveillance Unit (WCISU),IN,Not Applicable,['Still being defined'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,"More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases."
47,Please contact the publisher using Contact Point details provided,Cambridge University Hospitals NHS Foundation Trust (CUH),GB-ENG,"University of Dundee, Health Informatics Centre","['https://www.nicor.org.uk/for-researchers/data-sharing-application-process/', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",2-4 WEEKS,"Access to all data and samples collected by ISARIC4C are controlled by an Independent Data and Materials Access Committee (IDAMAC), composed of representatives of research funders, academia, clinical medicine, public health and industry. Their job is to ensure that all data and samples are used to generate the greatest possible benefit to humanity, in the shortest possible time.

If you are interested in requesting samples or data please briefly answer the questions below and send to isaric4c-samples@roslin.ed.ac.uk, including this statement in your email:

“I agree for the contents of my application to be shared publicly on the internet and other media by the ISARIC 4C consortium.”

What samples (type & volume) or data do you need?
What will you do with the samples or data ?
What is your previous track record of delivering similar work?
When will you complete the proposed work?
How will you fund the proposed work?
How do you plan to share data, results, and products from these samples?
Why will this help the global response to COVID19?
What assurance can you give with regards to your safe handling and secure storage of samples and data?"
48,https://saildatabank.com/application-process/,The University of Bristol,GB-GBN,DATA-CAN,Not specified,1-2 MONTHS,The audit team at Parkinson's UK will respond to all requests for access to this data within 5 working days
49,['https://saildatabank.com/application-process/'],University of Bristol,['GB'],NOT APPLICABLE,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
50,['Available locally within Trust corporate Data Warehouse System and authorised access by Trust staff only.\nDataset is also available within Discovery.'],University of Leeds,['GB-GB'],Not Applicable,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",1-2 MONTHS,"""HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"""
51,['https://bioresource.nihr.ac.uk/using-our-bioresource'],Local NHS boards,GB-ENG,Different HDRUK centres across the North.,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
